id,model,patrimony,description,created,modified,assetType_id,equipment_id,manufacturer_id,criticalness_id
77,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº4,,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº4 - MOENDA,2017-01-01 00:00:00.000076,2017-01-01 00:00:00.000076,19,160,1,1
78,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº5,,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº5 - MOENDA,2017-01-01 00:00:00.000077,2017-01-01 00:00:00.000077,19,160,1,1
79,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº1,,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº1 - MOENDA,2017-01-01 00:00:00.000078,2017-01-01 00:00:00.000078,19,160,1,1
80,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº2,,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº2 - MOENDA,2017-01-01 00:00:00.000079,2017-01-01 00:00:00.000079,19,160,1,1
81,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº3,,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº3 - MOENDA,2017-01-01 00:00:00.000080,2017-01-01 00:00:00.000080,19,160,1,1
82,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº4,,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº4 - MOENDA,2017-01-01 00:00:00.000081,2017-01-01 00:00:00.000081,19,160,1,1
83,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº5,,SENSOR - Sensor capacitivo do nivel do 3º terno de moenda sensor nº5 - MOENDA,2017-01-01 00:00:00.000082,2017-01-01 00:00:00.000082,19,160,1,1
84,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº1,,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº1 - MOENDA,2017-01-01 00:00:00.000083,2017-01-01 00:00:00.000083,19,160,1,1
85,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº2,,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº2 - MOENDA,2017-01-01 00:00:00.000084,2017-01-01 00:00:00.000084,19,160,1,1
86,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº3,,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº3 - MOENDA,2017-01-01 00:00:00.000085,2017-01-01 00:00:00.000085,19,160,1,1
87,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº4,,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº4 - MOENDA,2017-01-01 00:00:00.000086,2017-01-01 00:00:00.000086,19,160,1,1
